level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,4,3,1,1,1332,985,624,44,92,"Buchwald, Ober- u. Nieder-"
5,1,4,4,1,1,1331,1439,221,42,93,Waldhof
5,1,4,5,1,1,1329,1492,271,43,70,Büuchwalde
5,1,4,6,1,1,1330,1819,268,44,91,Buchwalde
5,1,4,7,1,1,1326,2137,269,44,65,Büuchwalde
5,1,4,8,1,1,1329,2232,298,38,65,Buchwaldsdorg
5,1,4,9,1,1,1323,2323,210,35,89,Buchwaldt
5,1,4,10,1,1,1322,2366,562,34,45,Buchwalow ist Hohndokf
5,1,4,11,1,1,1323,2414,192,37,18,Buchiralt
5,1,4,12,1,1,1323,2503,271,41,51,Buchieldchin
5,1,4,13,1,1,1325,2592,293,41,19,Buchweldichen
5,1,4,14,1,1,1319,2691,223,45,48,Büchwit
5,1,4,15,1,1,1320,3066,384,43,90,"Buckan, an der Oder"
