level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,5,1,1,1,1266,261,89,33,81,1817
5,1,3,1,1,1,287,1727,384,47,90,"Pietruchowe,"
5,1,3,2,1,1,283,1828,382,38,90,Pietrzkowiee
5,1,3,3,1,1,279,1918,145,43,77,"Pieße,"
5,1,3,6,1,1,282,2695,200,47,45,"Pießiske,"
5,1,3,7,1,1,283,2785,160,48,45,"Pietky,"
5,1,3,8,1,1,278,2967,126,34,74,Pita
5,1,3,9,1,1,280,3060,132,42,78,"Pilawa,"
5,1,3,10,1,1,278,3103,222,44,76,"Pilawa,"
5,1,3,11,1,1,277,3237,242,47,66,"Pilchowitz,"
