level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,4,1,1,1,294,651,231,39,87,Zabkew
5,1,4,2,1,1,295,762,133,36,30,Zaublat
5,1,4,3,1,1,294,853,156,38,84,Zabloto
5,1,4,4,1,1,293,937,185,46,79,Zabnig
5,1,4,5,1,1,292,1039,216,35,83,Zabnek
5,1,4,6,1,1,294,1089,120,39,88,Zabor
5,1,4,7,1,1,292,1141,248,41,56,Zaheree
5,1,4,8,1,1,293,1548,227,41,90,Poremba
5,1,4,9,1,1,292,1603,214,42,69,Zahrze
5,1,4,10,1,1,295,2460,215,32,91,Gwozdek
5,1,4,11,1,1,295,2559,213,43,30,Zabrze
5,1,4,12,1,1,296,2650,218,41,66,ZLahrze
5,1,4,13,1,1,295,3102,174,41,91,Zabrze
5,1,6,5,1,1,1348,574,248,43,65,Zahbrzeg
5,1,6,6,1,1,1343,981,242,40,24,Zahbrzeg.
5,1,6,7,1,1,1342,1432,201,41,92,Wygoda
5,1,6,8,1,1,1343,1524,221,38,0,Zucchericz.
5,1,6,9,1,1,1342,1613,258,38,15,Zuchaninritz
5,1,6,10,1,1,1340,1699,306,47,85,Zacharzowiß
5,1,6,11,1,1,1337,2152,297,41,29,Zachcliala
5,1,6,12,1,1,1338,2292,147,36,91,Zuchery
5,1,6,13,1,1,1342,2379,168,38,68,Zucheris
5,1,6,14,1,1,1343,2469,250,31,31,Zuchinkirche.
5,1,6,15,1,1,1347,2607,161,36,90,Zuchror
5,1,6,16,1,1,1344,2691,319,45,50,Zackenhäufſer
